profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
Great Kosher Restaurants Foodies,salt lake,shabbat,/groups/320656708120313/?hoisted_section_header_type=recently_seen&multi_permalinks=2190190714500227&__cft__[0]=AZWen4tNZ-yyPcopr7ZQpP7uR_kbG6LWh1SXjVAgkEKnFI9ABwoABPdiLSW_GBhfIgw4k8GOIPmYW9fkt7HZyE_79bQFJjYavTdG7VDBUDMKOyq1OiywGmQVkkU3r3o__K8pldV8smo6_x0G5gabpyEM&__tn__=-UC%2CP-R,"Bristol Kosher Deli located in canyons resort, Park City,  Utah. ",2 h,/groups/320656708120313/user/558260259/?__cft__[0]=AZWen4tNZ-yyPcopr7ZQpP7uR_kbG6LWh1SXjVAgkEKnFI9ABwoABPdiLSW_GBhfIgw4k8GOIPmYW9fkt7HZyE_79bQFJjYavTdG7VDBUDMKOyq1OiywGmQVkkU3r3o__K8pldV8smo6_x0G5gabpyEM&__tn__=%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZUdt_PyWkEAEIpOl4dBmepsCHZZPOXfeNszKE81aQcNdEMpxLiKueH1IpXRlyyv3247pMiKuvfPN60cmjs_M3NvUK2IzzAdJqVQhJNI1fACnwb_EEnbQPhDM0YCRHmG7jM&__tn__=kC%2CP-R,Shabbat Shalom! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,1 d,https://www.facebook.com/congregationkolamiUTAH/posts/6632131453469646?__cft__[0]=AZUdt_PyWkEAEIpOl4dBmepsCHZZPOXfeNszKE81aQcNdEMpxLiKueH1IpXRlyyv3247pMiKuvfPN60cmjs_M3NvUK2IzzAdJqVQhJNI1fACnwb_EEnbQPhDM0YCRHmG7jM&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZUKtJOhkHU6z6L9yW0Skd4H6Z7o8NtpHG-JBldqrHj9b8LQ7r4uXErxZx6voGXieLULCLwETq_MUglBRqX51kEU7lEnhdN8n9RnwWQAMdUN5E8ehrj_HsqP-KFt--8MLNc&__tn__=kC%2CP-R,Shabbat Shalom! L'Shanah Tovah! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,24 September 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6252164858132976?__cft__[0]=AZUKtJOhkHU6z6L9yW0Skd4H6Z7o8NtpHG-JBldqrHj9b8LQ7r4uXErxZx6voGXieLULCLwETq_MUglBRqX51kEU7lEnhdN8n9RnwWQAMdUN5E8ehrj_HsqP-KFt--8MLNc&__tn__=%2CO%2CP-R
Rabbi Benny Zippel,salt lake,shabbat,https://www.facebook.com/rabbi.zippel?__cft__[0]=AZUlwc8PrZEQtZSdkZDHUUpWQ1QH49rydfxXd-PKNNQoxzNBC8638QyKHr8nM-LD9OXsJj8HBAy8bRKmEtacc7ultXKsVEEJI5adnZdewW5Dr1dj32NMOUY8Z4suKTSk-2U&__tn__=-]C%2CP-R,When you go shopping at Costco for Shabbat and you find…….a precious fellow Jew #chabadpolishinggems,16 December 2022,https://www.facebook.com/rabbi.zippel/posts/10167458208965475?__cft__[0]=AZUlwc8PrZEQtZSdkZDHUUpWQ1QH49rydfxXd-PKNNQoxzNBC8638QyKHr8nM-LD9OXsJj8HBAy8bRKmEtacc7ultXKsVEEJI5adnZdewW5Dr1dj32NMOUY8Z4suKTSk-2U&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZUTwWKm0EPRGpfKvtF_hhqN1hVwXyPm1eR2flIk02uPmTc48hdWbIcB2tm9mDOwDlXY0phtru_y1ema9VXopClwNXH0pNQZOym2TYI0UKKuGaMCKKvknzsdbW4-YPWgSX8&__tn__=kC%2CP-R,Join Rabbi Sam Spector this Saturday following our Shabbat morning service for a learning session on halacha. Please meet in the Library 20 minutes after the service concludes!....… See more,16 December 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6524752500874209?__cft__[0]=AZUTwWKm0EPRGpfKvtF_hhqN1hVwXyPm1eR2flIk02uPmTc48hdWbIcB2tm9mDOwDlXY0phtru_y1ema9VXopClwNXH0pNQZOym2TYI0UKKuGaMCKKvknzsdbW4-YPWgSX8&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZXrzJNteDqVMYjdLzudDT5-re4mTl0mRTlejeD0oHCz-KMy-DuA2cU-f_11VCbGmi5UuJyZO9JvWtTjOI8aojPiJk-MxC8sznz0rO4YD2E7u_NKyD-Hn2UIv7DbpB4Rpio&__tn__=kC%2CP-R,Shabbat Shalom! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,10 December 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6495706947112098?__cft__[0]=AZXrzJNteDqVMYjdLzudDT5-re4mTl0mRTlejeD0oHCz-KMy-DuA2cU-f_11VCbGmi5UuJyZO9JvWtTjOI8aojPiJk-MxC8sznz0rO4YD2E7u_NKyD-Hn2UIv7DbpB4Rpio&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZVEqRcfCq5jdUHCyuCExnfgrJ_IJ9z0QbJYMdW3CVGNMG7oMRjre5fdz7qg8i9PXv74UNUIXWtCcFF_1wqnHVr-eXK9wMAiXXDIX1NF8C_-wqSJqBW92Hr0WK-7blS3GPQ&__tn__=kC%2CP-R,Join us for a family-friendly Shabbat dinner and service! Our evening will begin at 5:30 pm with dinner followed by our Erev Shabbat service at 6:30 pm.,3 d,https://www.facebook.com/congregationkolamiUTAH/posts/6626112434071548?__cft__[0]=AZVEqRcfCq5jdUHCyuCExnfgrJ_IJ9z0QbJYMdW3CVGNMG7oMRjre5fdz7qg8i9PXv74UNUIXWtCcFF_1wqnHVr-eXK9wMAiXXDIX1NF8C_-wqSJqBW92Hr0WK-7blS3GPQ&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZVfOtEoehKKRZXGVL3BVnY-PRoSm4E-Jv1kEmuPFAGDkwnfpEfsWKNlZktR-kUrXn7PN5xA0WyDmWMHYMFMTA-51Feh1xkVpS-FqsVMl7RX4rihDqzk9XrFIHX6j2c7oDo&__tn__=kC%2CP-R,Shabbat Shalom! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,29 October 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6368231213193006?__cft__[0]=AZVfOtEoehKKRZXGVL3BVnY-PRoSm4E-Jv1kEmuPFAGDkwnfpEfsWKNlZktR-kUrXn7PN5xA0WyDmWMHYMFMTA-51Feh1xkVpS-FqsVMl7RX4rihDqzk9XrFIHX6j2c7oDo&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZXOkEw4AqRiYZwuafONw28B-vnvOndthHsxlHu4ZDwPXSKiObcop3yzC6TMF9pELx7TfJnOVswkkm2HLezisssaSijxzRugLfgCnZjWPrvZSPJZAOkFKOXIeEwkvEHjyWQ&__tn__=kC%2CP-R,Join Rabbi Sam Spector this Saturday following our Shabbat morning service for a learning session on halacha. Please meet in the Library 20 minutes after the service concludes!....… See more,11 January at 21:01,https://www.facebook.com/congregationkolamiUTAH/posts/6602508566431935?__cft__[0]=AZXOkEw4AqRiYZwuafONw28B-vnvOndthHsxlHu4ZDwPXSKiObcop3yzC6TMF9pELx7TfJnOVswkkm2HLezisssaSijxzRugLfgCnZjWPrvZSPJZAOkFKOXIeEwkvEHjyWQ&__tn__=%2CO%2CP-R
profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
